"Members – Detailed Travel Expenditures Report – Acan, Sima – Q2 2026"
Travel start date,Travel end date,Departure,Places Visited,Purpose of Travel,Traveller Name,Traveller Type,Transportation,Accommodations,Meals and Incidentals,Total
2025-05-21,2025-05-30,Oakville,Ottawa,Parliamentary session or related activities in Ottawa,"Acan, Sima",Member,470.75,0,0,470.75
2025-06-16,2025-06-20,Oakville,Ottawa,Parliamentary session or related activities in Ottawa,"Acan, Sima",Member,-470.75,0,0,-470.75
2025-07-05,2025-07-19,Oakville,Oakville,Business within the constituency,"Acan, Sima",Member,196.53,0,0,196.53
2025-09-07,2025-09-12,Oakville,"Toronto, Edmonton",Attend a national caucus meeting,"Acan, Sima",Member,3298.89,1013.66,692.52,5005.07
2025-09-14,2025-09-22,Oakville,Ottawa,Parliamentary session or related activities in Ottawa,"Acan, Sima",Member,1034.13,3534.53,694.56,5263.22
